# t/tauB	proportion
2.791111111111110858e+02 9.568000000000000116e-03
2.857777777777777715e+02 9.013999999999999443e-03
2.924444444444444571e+02 8.953000000000000888e-03
2.991111111111110858e+02 9.274999999999998523e-03
3.057777777777777715e+02 9.575000000000000178e-03
3.124444444444444571e+02 9.951999999999999041e-03
3.191111111111110858e+02 1.020400000000000126e-02
3.257777777777777715e+02 1.026900000000000035e-02
3.324444444444444571e+02 1.006299999999999903e-02
3.391111111111110858e+02 1.113600000000000007e-02
3.457777777777777715e+02 1.014499999999999950e-02
3.524444444444444571e+02 1.009000000000000001e-02
3.591111111111110858e+02 1.056599999999999900e-02
3.657777777777777715e+02 1.045100000000000022e-02
3.724444444444444571e+02 1.076900000000000079e-02
3.791111111111110858e+02 1.116499999999999958e-02
3.857777777777777715e+02 1.111299999999999961e-02
3.924444444444444571e+02 1.205700000000000001e-02
3.991111111111110858e+02 1.265200000000000005e-02
4.057777777777777715e+02 1.265300000000000105e-02
4.124444444444444571e+02 1.179099999999999940e-02
4.191111111111110858e+02 1.286999999999999950e-02
4.257777777777777715e+02 1.242899999999999908e-02
4.324444444444444571e+02 1.289299999999999995e-02
4.391111111111110858e+02 1.277499999999999990e-02
4.457777777777777715e+02 1.289699999999999874e-02
4.524444444444444571e+02 1.284700000000000078e-02
4.591111111111110858e+02 1.346999999999999933e-02
4.657777777777777715e+02 1.357399999999999926e-02
4.724444444444444571e+02 1.387700000000000045e-02
4.791111111111110858e+02 1.424800000000000025e-02
4.857777777777777715e+02 1.528799999999999951e-02
4.924444444444444571e+02 1.478900000000000006e-02
4.991111111111110858e+02 1.661800000000000083e-02
5.057777777777777715e+02 1.676199999999999912e-02
5.124444444444444571e+02 1.765300000000000202e-02
5.191111111111110858e+02 1.780999999999999944e-02
5.257777777777778283e+02 1.948500000000000232e-02
5.324444444444444571e+02 1.811399999999999816e-02
5.391111111111110858e+02 1.947700000000000126e-02
5.457777777777778283e+02 1.967800000000000105e-02
5.524444444444444571e+02 1.961099999999999996e-02
5.591111111111110858e+02 2.038600000000000134e-02
5.657777777777778283e+02 2.061099999999999738e-02
5.724444444444444571e+02 2.155500000000000124e-02
5.791111111111110858e+02 2.178900000000000281e-02
5.857777777777778283e+02 2.268399999999999930e-02
5.924444444444444571e+02 2.144000000000000072e-02
5.991111111111110858e+02 2.245499999999999927e-02
6.057777777777778283e+02 2.267700000000000271e-02
6.124444444444444571e+02 2.443100000000000133e-02
6.191111111111110858e+02 2.505500000000000088e-02
6.257777777777778283e+02 2.586499999999999910e-02
6.324444444444444571e+02 2.599500000000000074e-02
6.391111111111110858e+02 2.667900000000000132e-02
6.457777777777778283e+02 2.744399999999999964e-02
6.524444444444444571e+02 2.871200000000000141e-02
6.591111111111110858e+02 2.958799999999999972e-02
6.657777777777778283e+02 3.023800000000000099e-02
6.724444444444444571e+02 3.079000000000000140e-02
6.791111111111110858e+02 3.175700000000000051e-02
6.857777777777778283e+02 3.235799999999999788e-02
6.924444444444444571e+02 3.397399999999999726e-02
6.991111111111110858e+02 3.330900000000000527e-02
7.057777777777778283e+02 3.390200000000000158e-02
7.124444444444444571e+02 3.496000000000000496e-02
7.191111111111110858e+02 3.500999999999999945e-02
7.257777777777778283e+02 3.607000000000000484e-02
7.324444444444444571e+02 3.587500000000000411e-02
7.391111111111110858e+02 3.781400000000000039e-02
7.457777777777778283e+02 3.835399999999999920e-02
7.524444444444444571e+02 3.876599999999999491e-02
7.591111111111110858e+02 3.927599999999999841e-02
7.657777777777778283e+02 3.923200000000000298e-02
7.724444444444444571e+02 4.047599999999999809e-02
7.791111111111110858e+02 4.034499999999999892e-02
7.857777777777778283e+02 4.271199999999999997e-02
7.924444444444444571e+02 4.136599999999999999e-02
7.991111111111110858e+02 4.413299999999999862e-02
8.057777777777778283e+02 4.676999999999999907e-02
8.124444444444444571e+02 4.555499999999999827e-02
8.191111111111110858e+02 4.762900000000000467e-02
8.257777777777778283e+02 4.902299999999999713e-02
8.324444444444444571e+02 4.995600000000000041e-02
8.391111111111110858e+02 5.031800000000000161e-02
8.457777777777778283e+02 5.235399999999999776e-02
8.524444444444444571e+02 5.141500000000000237e-02
8.591111111111110858e+02 5.369800000000000267e-02
8.657777777777778283e+02 5.565099999999999908e-02
8.724444444444444571e+02 5.698400000000000687e-02
8.791111111111110858e+02 5.838300000000000434e-02
8.857777777777778283e+02 5.864199999999999968e-02
8.924444444444444571e+02 5.882400000000000129e-02
8.991111111111110858e+02 5.994900000000000229e-02
9.057777777777778283e+02 6.237600000000000089e-02
9.124444444444444571e+02 6.148200000000000193e-02
9.191111111111110858e+02 6.290400000000000158e-02
9.257777777777778283e+02 6.280399999999999872e-02
9.324444444444444571e+02 6.283299999999999996e-02
9.391111111111110858e+02 6.515599999999999170e-02
9.457777777777778283e+02 6.604000000000000148e-02
9.524444444444444571e+02 6.617000000000000659e-02
9.591111111111110858e+02 6.790799999999999614e-02
9.657777777777778283e+02 6.909999999999999476e-02
9.724444444444444571e+02 7.013800000000000590e-02
9.791111111111110858e+02 7.255699999999999650e-02
9.857777777777778283e+02 7.200399999999999856e-02
9.924444444444444571e+02 7.119000000000000328e-02
9.991111111111110858e+02 7.174400000000000222e-02
1.005777777777777828e+03 7.411199999999999732e-02
1.012444444444444457e+03 7.566100000000000603e-02
1.019111111111111086e+03 7.660000000000000142e-02
1.025777777777777828e+03 7.830399999999999860e-02
1.032444444444444343e+03 7.767299999999999205e-02
1.039111111111111086e+03 7.913599999999999801e-02
1.045777777777777828e+03 7.929700000000000637e-02
1.052444444444444343e+03 7.975699999999999457e-02
1.059111111111111086e+03 8.124200000000000865e-02
1.065777777777777828e+03 8.299600000000000033e-02
1.072444444444444343e+03 8.501399999999999235e-02
1.079111111111111086e+03 8.806899999999999451e-02
1.085777777777777828e+03 8.688499999999999002e-02
1.092444444444444343e+03 8.646099999999999619e-02
1.099111111111111086e+03 8.710699999999998999e-02
1.105777777777777828e+03 8.934400000000000674e-02
1.112444444444444343e+03 8.990300000000001068e-02
1.119111111111111086e+03 9.360599999999999477e-02
1.125777777777777828e+03 9.529999999999999583e-02
1.132444444444444343e+03 9.778399999999999592e-02
1.139111111111111086e+03 9.816199999999999926e-02
1.145777777777777828e+03 1.000979999999999925e-01
1.152444444444444343e+03 1.012399999999999967e-01
1.159111111111111086e+03 1.034839999999999927e-01
1.165777777777777828e+03 1.033710000000000045e-01
1.172444444444444343e+03 1.056980000000000003e-01
1.179111111111111086e+03 1.084699999999999970e-01
1.185777777777777828e+03 1.089119999999999949e-01
1.192444444444444343e+03 1.106550000000000034e-01
1.199111111111111086e+03 1.129000000000000004e-01
1.205777777777777828e+03 1.127150000000000096e-01
1.212444444444444343e+03 1.146159999999999957e-01
1.219111111111111086e+03 1.186409999999999965e-01
1.225777777777777828e+03 1.204910000000000009e-01
1.232444444444444343e+03 1.234280000000000099e-01
1.239111111111111086e+03 1.264640000000000208e-01
1.245777777777777828e+03 1.255759999999999932e-01
1.252444444444444343e+03 1.283870000000000011e-01
1.259111111111111086e+03 1.301450000000000107e-01
1.265777777777777828e+03 1.334869999999999945e-01
1.272444444444444343e+03 1.339059999999999973e-01
1.279111111111111086e+03 1.327399999999999969e-01
1.285777777777777828e+03 1.365190000000000015e-01
1.292444444444444343e+03 1.383360000000000145e-01
1.299111111111111086e+03 1.419440000000000146e-01
1.305777777777777828e+03 1.410230000000000095e-01
1.312444444444444343e+03 1.420559999999999878e-01
1.319111111111111086e+03 1.442829999999999946e-01
1.325777777777777828e+03 1.454680000000000140e-01
1.332444444444444343e+03 1.475650000000000017e-01
1.339111111111111086e+03 1.475839999999999930e-01
1.345777777777777828e+03 1.490020000000000233e-01
1.352444444444444343e+03 1.531020000000000159e-01
1.359111111111111086e+03 1.529340000000000144e-01
1.365777777777777828e+03 1.538779999999999870e-01
1.372444444444444343e+03 1.565639999999999810e-01
1.379111111111111086e+03 1.547689999999999899e-01
1.385777777777777828e+03 1.574510000000000076e-01
1.392444444444444343e+03 1.586420000000000052e-01
1.399111111111111086e+03 1.610130000000000172e-01
1.405777777777777828e+03 1.626289999999999958e-01
1.412444444444444343e+03 1.688100000000000156e-01
1.419111111111111086e+03 1.681369999999999809e-01
1.425777777777777828e+03 1.712400000000000033e-01
1.432444444444444343e+03 1.739200000000000190e-01
1.439111111111111086e+03 1.786379999999999912e-01
1.445777777777777828e+03 1.793270000000000142e-01
